DALLAS MAVERICKS Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030_DAL_PCC,00_EqualityWIL01,001_EqualityWIL01_AUD_F_v01.mov,1,,,030,001,001,AUD_F,10s,?,-,19,,When he blocks a shot,,030_DAL_PCC,00_EqualityWIL01,\030_DAL_PCC\00_EqualityWIL01\001_EqualityWIL01_AUD_F_v01.mov,-,nclc,nclc,10010,3285351084,10160,1600,6.350,CFR,29.970,4112601971,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,004_EqualityWIL01_RIB_F_v01.mov,1,,,030,004,010,RIB_F,10s,,-,19,,,,030_DAL_PCC,00_EqualityWIL01,\030_DAL_PCC\00_EqualityWIL01\004_EqualityWIL01_RIB_F_v01.mov,-,nclc,nclc,10010,325423196,9504,144,66.000,CFR,29.970,409263519,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,008_EqualityWIL01_SCB_v01.mov,1,,,030,008,017,SCB,10s,,-,19,,,,030_DAL_PCC,00_EqualityWIL01,\030_DAL_PCC\00_EqualityWIL01\008_EqualityWIL01_SCB_v01.mov,-,nclc,nclc,10010,414543827,1920,1080,1.778,CFR,29.970,520500796,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,01_KRISSTOPS,011_KRISSTOPS_AUD_F_v01.mov,1,,1,030,011,001,AUD_F,,,-,,,,7/23/2020 16:49:48,030_DAL_PCC,01_KRISSTOPS,\030_DAL_PCC\01_KRISSTOPS\011_KRISSTOPS_AUD_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,014_KRISSTOPS_RIB_F_v01.mov,1,,1,030,014,010,RIB_F,,,-,,,,7/23/2020 16:49:48,030_DAL_PCC,01_KRISSTOPS,\030_DAL_PCC\01_KRISSTOPS\014_KRISSTOPS_RIB_F_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,018_KRISSTOPS_SCB_v01.mov,1,,1,030,018,017,SCB,,,-,,,,7/23/2020 16:49:49,030_DAL_PCC,01_KRISSTOPS,\030_DAL_PCC\01_KRISSTOPS\018_KRISSTOPS_SCB_v01.mov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,02_LETS_GO_MAVS_SUPER8,021_LETS_GO_MAVS_SUPER8_AUD_F_v01.mov,1,,1,030,021,001,AUD_F,10s,,-,45,,Offense basic ,,030_DAL_PCC,02_LETS_GO_MAVS_SUPER8,\030_DAL_PCC\02_LETS_GO_MAVS_SUPER8\021_LETS_GO_MAVS_SUPER8_AUD_F_v01.mov,-,nclc,nclc,10010,4232900262,10160,1600,6.350,CFR,29.970,5298445217,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,024_LETS_GO_MAVS_SUPER8_RIB_F_v01.mov,1,,1,030,024,010,RIB_F,10s,,-,45,,,,030_DAL_PCC,02_LETS_GO_MAVS_SUPER8,\030_DAL_PCC\02_LETS_GO_MAVS_SUPER8\024_LETS_GO_MAVS_SUPER8_RIB_F_v01.mov,-,nclc,nclc,10010,367916015,9504,144,66.000,CFR,29.970,462386166,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,028_LETS_GO_MAVS_SUPER8_SCB_v01.mov,1,,1,030,028,017,SCB,10s,,-,45,,,,030_DAL_PCC,02_LETS_GO_MAVS_SUPER8,\030_DAL_PCC\02_LETS_GO_MAVS_SUPER8\028_LETS_GO_MAVS_SUPER8_SCB_v01.mov,-,nclc,nclc,10010,486213744,1920,1080,1.778,CFR,29.970,610282704,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,03_DEFENSE_SUPER8,031_DEFENSE_SUPER8_AUD_F_v01.mov,1,,1,030,031,001,AUD_F,10s,,-,47,,,,030_DAL_PCC,03_DEFENSE_SUPER8,\030_DAL_PCC\03_DEFENSE_SUPER8\031_DEFENSE_SUPER8_AUD_F_v01.mov,-,nclc,nclc,10010,4176249808,10160,1600,6.350,CFR,29.970,5227574810,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,034_DEFENSE_SUPER8_RIB_F_v01.mov,1,,1,030,034,010,RIB_F,10s,,-,47,,,,030_DAL_PCC,03_DEFENSE_SUPER8,\030_DAL_PCC\03_DEFENSE_SUPER8\034_DEFENSE_SUPER8_RIB_F_v01.mov,-,nclc,nclc,10010,365865326,9504,144,66.000,CFR,29.970,459822777,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,038_DEFENSE_SUPER8_SCB_v01.mov,1,,1,030,038,017,SCB,10s,,-,47,,,,030_DAL_PCC,03_DEFENSE_SUPER8,\030_DAL_PCC\03_DEFENSE_SUPER8\038_DEFENSE_SUPER8_SCB_v01.mov,-,nclc,nclc,10010,560775388,1920,1080,1.778,CFR,29.970,703591598,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,04_1800_MAXI_K_3POINTER,041_1800_MAXI_K_3POINTER_AUD_F_v01.mov,1,,1,030,041,001,AUD_F,10s,,-,20,,When he hits a 3 and does the hand sign ,,030_DAL_PCC,04_1800_MAXI_K_3POINTER,\030_DAL_PCC\04_1800_MAXI_K_3POINTER\041_1800_MAXI_K_3POINTER_AUD_F_v01.mov,-,nclc,nclc,10010,2896524857,10160,1600,6.350,CFR,29.970,3626347709,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,044_1800_MAXI_K_3POINTER_RIB_F_v01.mov,1,,1,030,044,010,RIB_F,10s,,-,20,,,,030_DAL_PCC,04_1800_MAXI_K_3POINTER,\030_DAL_PCC\04_1800_MAXI_K_3POINTER\044_1800_MAXI_K_3POINTER_RIB_F_v01.mov,-,nclc,nclc,10010,305239787,9504,144,66.000,CFR,29.970,383994875,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,048_1800_MAXI_K_3POINTER_SCB_v01.mov,1,,1,030,048,017,SCB,10s,,-,20,,,,030_DAL_PCC,04_1800_MAXI_K_3POINTER,\030_DAL_PCC\04_1800_MAXI_K_3POINTER\048_1800_MAXI_K_3POINTER_SCB_v01.mov,-,nclc,nclc,10010,505398448,1920,1080,1.778,CFR,29.970,634450828,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,05_ONFIRE,051_OnFire_AUD_F_v01.mov,1,,1,030,051,001,AUD_F,10s,,-,51,,Hot timeout ,,030_DAL_PCC,05_ONFIRE,\030_DAL_PCC\05_ONFIRE\051_OnFire_AUD_F_v01.mov,-,nclc,nclc,10010,1145247228,10160,1600,6.350,CFR,29.970,1439418249,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,054_OnFire_RIB_F_v01.mov,1,,1,030,054,010,RIB_F,10s,,-,51,,,,030_DAL_PCC,05_ONFIRE,\030_DAL_PCC\05_ONFIRE\054_OnFire_RIB_F_v01.mov,-,nclc,nclc,10010,140154317,9504,144,66.000,CFR,29.970,181729726,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,058_OnFire_SCB_v01.mov,1,,1,030,058,017,SCB,10s,,-,51,,,,030_DAL_PCC,05_ONFIRE,\030_DAL_PCC\05_ONFIRE\058_OnFire_SCB_v01.mov,-,nclc,nclc,10010,182899030,1920,1080,1.778,CFR,29.970,235165770,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,06_LETS_GO_MAVS_LANGUAGES,,,,,,,,,,,-,,,,7/21/2020 8:16:02,030_DAL_PCC,06_LETS_GO_MAVS_LANGUAGES,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,030_DAL_PCC,06_LETS_GO_MAVS_LANGUAGES,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,-,,,,,030_DAL_PCC,06_LETS_GO_MAVS_LANGUAGES,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,07_MAVS_WIN,071_MAVS_WIN_AUD_F_v01.mov,1,,,030,071,001,AUD_F,10s,,-,,,,7/18/2020 13:30:07,030_DAL_PCC,07_MAVS_WIN,\030_DAL_PCC\07_MAVS_WIN\071_MAVS_WIN_AUD_F_v01.mov,-,nclc,nclc,10010,3152594829,10160,1600,6.350,CFR,29.970,3947048604,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,074_MAVS_WIN_RIB_F_v01.mov,1,,,030,074,010,RIB_F,10s,,-,,,,7/18/2020 13:30:06,030_DAL_PCC,07_MAVS_WIN,\030_DAL_PCC\07_MAVS_WIN\074_MAVS_WIN_RIB_F_v01.mov,-,nclc,nclc,10010,121971669,9504,144,66.000,CFR,29.970,154985828,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,078_MAVS_WIN_SCB_v01.mov,1,,,030,078,017,SCB,10s,,-,,,,7/22/2020 19:37:56,030_DAL_PCC,07_MAVS_WIN,\030_DAL_PCC\07_MAVS_WIN\078_MAVS_WIN_SCB_v01.mov,-,nclc,nclc,10010,553345055,1920,1080,1.778,CFR,29.970,694695109,PCM,Little / Signed,sowt,10010,2,L R,44100,16
031_DAL_FERA,,,,,,,,,,,,-,,,,,031_DAL_FERA,07_MAVS_WIN,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
032_DAL_Image_1,,,,,,,,,,,,-,,,,,032_DAL_Image_1,07_MAVS_WIN,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
033_DAL_Image_2,,,,,,,,,,,,-,,,,,033_DAL_Image_2,07_MAVS_WIN,Skip,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
034_DAL_VIDEO,00_TIPOFFHYPE,000_TipoffHype_AUDIO_v01.mov,1,,1,034,000,024,AUDIO,2m14.37s,,-,,,,,034_DAL_VIDEO,00_TIPOFFHYPE,\034_DAL_VIDEO\00_TIPOFFHYPE\000_TipoffHype_AUDIO_v01.mov,-,nclc,nclc,134502,55900,16,16,1.000,CFR,29.970,27411675,PCM,Little / Signed,sowt,134502,2,L R,48000,16
,,001_TipoffHype_AUD_F_v01.mov,1,,1,034,001,001,AUD_F,,,-F,,,,,034_DAL_VIDEO,00_TIPOFFHYPE,\034_DAL_VIDEO\00_TIPOFFHYPE\001_TipoffHype_AUD_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,004_TipoffHype_RIB_F_v01.mov,1,,,034,004,010,RIB_F,,,-F,,,,,034_DAL_VIDEO,00_TIPOFFHYPE,\034_DAL_VIDEO\00_TIPOFFHYPE\004_TipoffHype_RIB_F_v01.mov,-F,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File,No File
,,008_TipoffHype_SCB_v01.mov,1,,,034,008,017,SCB,2m14.37s,,-,,,,,034_DAL_VIDEO,00_TIPOFFHYPE,\034_DAL_VIDEO\00_TIPOFFHYPE\008_TipoffHype_SCB_v01.mov,-,nclc,nclc,134502,123571492,1920,1080,1.778,CFR,29.970,2101937382,PCM,Little / Signed,sowt,134502,2,L R,44100,16
,01_HalftimeHype,010_HalftimeHype_AUDIO_v01.mov,1,,,034,010,024,AUDIO,1m1.4s,,-,,,,,034_DAL_VIDEO,01_HalftimeHype,\034_DAL_VIDEO\01_HalftimeHype\010_HalftimeHype_AUDIO_v01.mov,-,nclc,nclc,61462,76419,16,16,1.000,CFR,29.970,12925397,PCM,Little / Signed,sowt,61462,2,L R,48000,16
,,011_HalftimeHype_AUD_F_v01.mov,1,,,034,011,001,AUD_F,1m1.4s,,-,,,,,034_DAL_VIDEO,01_HalftimeHype,\034_DAL_VIDEO\01_HalftimeHype\011_HalftimeHype_AUD_F_v01.mov,-,nclc,nclc,61462,630158737,10160,1600,6.350,CFR,29.970,4841375769,-,-,-,-,-,-,-,-
,,014_HalftimeHype_RIB_F_v01.mov,1,,,034,014,010,RIB_F,1m1.4s,,-,,,,,034_DAL_VIDEO,01_HalftimeHype,\034_DAL_VIDEO\01_HalftimeHype\014_HalftimeHype_RIB_F_v01.mov,-,nclc,nclc,61462,146358125,9504,144,66.000,CFR,29.970,1124489178,-,-,-,-,-,-,-,-
,,018_HalftimeHype_SCB_v01.mov,1,,,034,018,017,SCB,1m1.4s,,-,,,,,034_DAL_VIDEO,01_HalftimeHype,\034_DAL_VIDEO\01_HalftimeHype\018_HalftimeHype_SCB_v01.mov,-,nclc,nclc,61462,436823645,1920,1080,1.778,CFR,29.970,3368315741,PCM,Little / Signed,sowt,61462,2,L R,48000,16
,02_DOMINATEHYPE,020_DominateHype_AUDIO_v01.mov,1,,1,034,020,024,AUDIO,0m60s,,-,,,Coming out of a hot timeout ,,034_DAL_VIDEO,02_DOMINATEHYPE,\034_DAL_VIDEO\02_DOMINATEHYPE\020_DominateHype_AUDIO_v01.mov,-,nclc,nclc,60060,92947,16,16,1.000,CFR,29.970,12848353,PCM,Little / Signed,sowt,60060,2,L R,48000,16
,,028_DominateHype_SCB_v01.mov,1,,1,034,028,017,SCB,0m60s,,-,,,Back half of TO's are programmed ,,034_DAL_VIDEO,02_DOMINATEHYPE,\034_DAL_VIDEO\02_DOMINATEHYPE\028_DominateHype_SCB_v01.mov,-,nclc,nclc,60060,332459936,1920,1080,1.778,CFR,29.970,2508096016,PCM,Little / Signed,sowt,60060,2,L R,48000,16
,03_IGOTITHYPE,030_IGotItHype_AUDIO_v01.mov,1,,1,034,030,024,AUDIO,59.57s,,-,,,,,034_DAL_VIDEO,03_IGOTITHYPE,\034_DAL_VIDEO\03_IGOTITHYPE\030_IGotItHype_AUDIO_v01.mov,-,nclc,nclc,59627,82450,16,16,1.000,CFR,29.970,12361382,PCM,Little / Signed,sowt,59627,2,L R,48000,16
,,038_IGotItHype_SCB_v01.mov,1,,1,034,038,017,SCB,59.57s,,-,,,,,034_DAL_VIDEO,03_IGOTITHYPE,\034_DAL_VIDEO\03_IGOTITHYPE\038_IGotItHype_SCB_v01.mov,-,nclc,nclc,59627,434869550,1920,1080,1.778,CFR,29.970,3252024086,PCM,Little / Signed,sowt,59627,2,L R,44100,16
,04_AgropopHype,040_AgropopHype_AUDIO_v01.mov,1,,,034,040,024,AUDIO,1m6.67s,,-,,,,7/22/2020 21:47:08,034_DAL_VIDEO,04_AgropopHype,\034_DAL_VIDEO\04_AgropopHype\040_AgropopHype_AUDIO_v01.mov,-,nclc,nclc,66734,75735,16,16,1.000,CFR,29.970,13922047,PCM,Little / Signed,sowt,66734,2,L R,48000,16
,,048_AgropopHype_SCB_v01.mov,1,,,034,048,017,SCB,1m6.67s,,-,,,,7/22/2020 21:47:16,034_DAL_VIDEO,04_AgropopHype,\034_DAL_VIDEO\04_AgropopHype\048_AgropopHype_SCB_v01.mov,-,nclc,nclc,66734,519069848,1920,1080,1.778,CFR,29.970,4343202269,PCM,Little / Signed,sowt,66734,2,L R,48000,16
,05_PFRHype,050_PFRHype_AUDIO_v01.mov,1,,,034,050,024,AUDIO,1m16s,,-,,,,7/22/2020 21:47:19,034_DAL_VIDEO,05_PFRHype,\034_DAL_VIDEO\05_PFRHype\050_PFRHype_AUDIO_v01.mov,-,nclc,nclc,76076,77265,16,16,1.000,CFR,29.970,15633285,PCM,Little / Signed,sowt,76076,2,L R,48000,16
,,058_PFRHype_SCB_v01.mov,1,,,034,058,017,SCB,1m16s,,-,,,,7/22/2020 21:47:20,034_DAL_VIDEO,05_PFRHype,\034_DAL_VIDEO\05_PFRHype\058_PFRHype_SCB_v01.mov,-,nclc,nclc,76076,534022819,1920,1080,1.778,CFR,29.970,5093193599,PCM,Little / Signed,sowt,76076,2,L R,48000,16
,06_CantStopTheFeeling,060_CantStopTheFeeling_AUDIO_v01.mov,1,,1,034,060,024,AUDIO,1m1.9s,,-,,,All of these are fun for back of timeouts. ,,034_DAL_VIDEO,06_CantStopTheFeeling,\034_DAL_VIDEO\06_CantStopTheFeeling\060_CantStopTheFeeling_AUDIO_v01.mov,-,nclc,nclc,61962,76287,16,16,1.000,CFR,29.970,12847944,PCM,Little / Signed,sowt,61962,2,L R,48000,16
,,068_CantStopTheFeeling_SCB_v01.mov,1,,1,034,068,017,SCB,1m1.9s,,-,,,Use for first 3 quarters ,,034_DAL_VIDEO,06_CantStopTheFeeling,\034_DAL_VIDEO\06_CantStopTheFeeling\068_CantStopTheFeeling_SCB_v01.mov,-,nclc,nclc,61962,447564384,1920,1080,1.778,CFR,29.970,3478752999,PCM,Little / Signed,sowt,61962,2,L R,48000,16
,07_DelPool,070_DelPool_AUDIO_v01.mov,1,,1,034,070,024,AUDIO,56s,,-,,,,,034_DAL_VIDEO,07_DelPool,\034_DAL_VIDEO\07_DelPool\070_DelPool_AUDIO_v01.mov,-,nclc,nclc,56056,67939,16,16,1.000,CFR,29.970,12015178,PCM,Little / Signed,sowt,56056,2,L R,48000,16
,,078_DelPool_SCB_v01.mov,1,,1,034,078,017,SCB,56s,,-,,,,,034_DAL_VIDEO,07_DelPool,\034_DAL_VIDEO\07_DelPool\078_DelPool_SCB_v01.mov,-,nclc,nclc,56056,376920031,1920,1080,1.778,CFR,29.970,2652620430,PCM,Little / Signed,sowt,56056,2,L R,48000,16
,08_EuroStepBrothers,080_EuroStepBrothers_AUDIO_v01.mov,1,,1,034,080,024,AUDIO,1m10.5s,,-,,,,,034_DAL_VIDEO,08_EuroStepBrothers,\034_DAL_VIDEO\08_EuroStepBrothers\080_EuroStepBrothers_AUDIO_v01.mov,-,nclc,nclc,70571,64733,16,16,1.000,CFR,29.970,14481695,PCM,Little / Signed,sowt,70571,2,L R,48000,16
,,088_EuroStepBrothers_SCB_v01.mov,1,,1,034,088,017,SCB,1m10.5s,,-,,,,,034_DAL_VIDEO,08_EuroStepBrothers,\034_DAL_VIDEO\08_EuroStepBrothers\088_EuroStepBrothers_SCB_v01.mov,-,nclc,nclc,70571,363892758,1920,1080,1.778,CFR,29.970,3223925603,PCM,Little / Signed,sowt,70571,2,L R,48000,16
,09_Footloose,090_Footloose_AUDIO_v01.mov,1,,1,034,090,024,AUDIO,1m6.2s,,-,,,,,034_DAL_VIDEO,09_Footloose,\034_DAL_VIDEO\09_Footloose\090_Footloose_AUDIO_v01.mov,-,nclc,nclc,66267,76557,16,16,1.000,CFR,29.970,13706075,PCM,Little / Signed,sowt,66267,2,L R,48000,16
,,098_Footloose_SCB_v01.mov,1,,1,034,098,017,SCB,1m6.2s,,-,,,,,034_DAL_VIDEO,09_Footloose,\034_DAL_VIDEO\09_Footloose\098_Footloose_SCB_v01.mov,-,nclc,nclc,66267,438841665,1920,1080,1.778,CFR,29.970,3648121763,PCM,Little / Signed,sowt,66267,2,L R,48000,16
,10_GameNightFever,100_GameNightFever_AUDIO_v01.mov,1,,1,034,100,024,AUDIO,53.53s,,-,,,,,034_DAL_VIDEO,10_GameNightFever,\034_DAL_VIDEO\10_GameNightFever\100_GameNightFever_AUDIO_v01.mov,-,nclc,nclc,53587,75722,16,16,1.000,CFR,29.970,10980141,PCM,Little / Signed,sowt,53587,2,L R,48000,16
,,108_GameNightFever_SCB_v01.mov,1,,1,034,108,017,SCB,53.53s,,-,,,,,034_DAL_VIDEO,10_GameNightFever,\034_DAL_VIDEO\10_GameNightFever\108_GameNightFever_SCB_v01.mov,-,nclc,nclc,53587,402463429,1920,1080,1.778,CFR,29.970,2706319886,PCM,Little / Signed,sowt,53587,2,L R,48000,16
,11_JuanWick,110_JuanWick_AUDIO_v01.mov,1,,1,034,110,024,AUDIO,1m2.03s,,-,,,,,034_DAL_VIDEO,11_JuanWick,\034_DAL_VIDEO\11_JuanWick\110_JuanWick_AUDIO_v01.mov,-,nclc,nclc,62096,64026,16,16,1.000,CFR,29.970,12882012,PCM,Little / Signed,sowt,62096,2,L R,48000,16
