OKLAHOMA CITY THUNDER Media Delivery,,SYNC ACTIVE,CONTENT ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version, Content Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Midi Button,Kerstin Notes,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130_OKC_PCC,00_3_Pointer,001_3PTClean_AUD_F_v01.mov,1,,1,130,001,001,AUD_F,10s,,-,43,,,,130_OKC_PCC,00_3_Pointer,\130_OKC_PCC\00_3_Pointer\001_3PTClean_AUD_F_v01.mov,-,nclc,nclc,10010,2915859422,10160,1600,6.350,CFR,29.970,3650496966,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,004_3PTClean_RIB_F_v02.mov,1,,1,130,004,010,RIB_F,10s,,-,43,,,,130_OKC_PCC,00_3_Pointer,\130_OKC_PCC\00_3_Pointer\004_3PTClean_RIB_F_v02.mov,-,nclc,nclc,10010,334357565,9504,144,66.000,CFR,29.970,420454447,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,008_3PTClean_SCB_v01.mov,1,,1,130,008,017,SCB,10s,,-,43,,,,130_OKC_PCC,00_3_Pointer,\130_OKC_PCC\00_3_Pointer\008_3PTClean_SCB_v01.mov,-,nclc,nclc,10010,520899984,1920,1080,1.778,CFR,29.970,653680831,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,01_3PT_Glitchy,011_3PTGlitchy_AUD_F_v01.mov,1,,1,130,011,001,AUD_F,2.03s,,-,44,,,,130_OKC_PCC,01_3PT_Glitchy,\130_OKC_PCC\01_3PT_Glitchy\011_3PTGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1832864289,10160,1600,6.350,CFR,29.970,466858456,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,014_3PTGlitchy_RIB_F_v02.mov,1,,1,130,014,010,RIB_F,2.03s,,-,44,,,,130_OKC_PCC,01_3PT_Glitchy,\130_OKC_PCC\01_3PT_Glitchy\014_3PTGlitchy_RIB_F_v02.mov,-,nclc,nclc,2036,190195881,9504,144,66.000,CFR,29.970,49112235,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,018_3PTGlitchy_SCB_v01.mov,1,,1,130,018,017,SCB,2.03s,,-,44,,,,130_OKC_PCC,01_3PT_Glitchy,\130_OKC_PCC\01_3PT_Glitchy\018_3PTGlitchy_SCB_v01.mov,-,nclc,nclc,2036,330963843,1920,1080,1.778,CFR,29.970,84688213,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,02_GreatPlay_Clean,021_GreatPlayClean_AUD_F_v01.mov,1,,1,130,021,001,AUD_F,10s,,-,19,,,,130_OKC_PCC,02_GreatPlay_Clean,\130_OKC_PCC\02_GreatPlay_Clean\021_GreatPlayClean_AUD_F_v01.mov,-,nclc,nclc,10010,2871019591,10160,1600,6.350,CFR,29.970,3594391088,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,024_GreatPlayClean_RIB_F_v02.mov,1,,1,130,024,010,RIB_F,10s,,-,19,,,,130_OKC_PCC,02_GreatPlay_Clean,\130_OKC_PCC\02_GreatPlay_Clean\024_GreatPlayClean_RIB_F_v02.mov,-,nclc,nclc,10010,333756179,9504,144,66.000,CFR,29.970,419701965,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,028_GreatPlayClean_SCB_v01.mov,1,,1,130,028,017,SCB,10s,,-,19,,,,130_OKC_PCC,02_GreatPlay_Clean,\130_OKC_PCC\02_GreatPlay_Clean\028_GreatPlayClean_SCB_v01.mov,-,nclc,nclc,10010,517738728,1920,1080,1.778,CFR,29.970,649725307,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,03_GreatPlay_Glitchy,031_GreatPlayGlitchy_AUD_F_v01.mov,1,,1,130,031,001,AUD_F,2.03s,,-,,,,,130_OKC_PCC,03_GreatPlay_Glitchy,\130_OKC_PCC\03_GreatPlay_Glitchy\031_GreatPlayGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1857036825,10160,1600,6.350,CFR,29.970,473008461,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,034_GreatPlayGlitchy_RIB_F_v02.mov,1,,1,130,034,010,RIB_F,2.03s,,-,,,,,130_OKC_PCC,03_GreatPlay_Glitchy,\130_OKC_PCC\03_GreatPlay_Glitchy\034_GreatPlayGlitchy_RIB_F_v02.mov,-,nclc,nclc,2036,194097771,9504,144,66.000,CFR,29.970,50104960,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,038_GreatPlayGlitchy_SCB_v01.mov,1,,1,130,038,017,SCB,2.03s,,-,,,,,130_OKC_PCC,03_GreatPlay_Glitchy,\130_OKC_PCC\03_GreatPlay_Glitchy\038_GreatPlayGlitchy_SCB_v01.mov,-,nclc,nclc,2036,331667500,1920,1080,1.778,CFR,29.970,84867240,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,04_ItsGood_Clean,041_ItsGoodClean_AUD_F_v01.mov,1,,1,130,041,001,AUD_F,10s,,-,20,,,,130_OKC_PCC,04_ItsGood_Clean,\130_OKC_PCC\04_ItsGood_Clean\041_ItsGoodClean_AUD_F_v01.mov,-,nclc,nclc,10010,2955800276,10160,1600,6.350,CFR,29.970,3700473028,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,044_ItsGoodClean_RIB_F_v02.mov,1,,1,130,044,010,RIB_F,10s,,-,20,,,,130_OKC_PCC,04_ItsGood_Clean,\130_OKC_PCC\04_ItsGood_Clean\044_ItsGoodClean_RIB_F_v02.mov,-,nclc,nclc,10010,336299008,9504,144,66.000,CFR,29.970,422883685,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,048_ItsGoodClean_SCB_v01.mov,1,,1,130,048,017,SCB,10s,,-,20,,,,130_OKC_PCC,04_ItsGood_Clean,\130_OKC_PCC\04_ItsGood_Clean\048_ItsGoodClean_SCB_v01.mov,-,nclc,nclc,10010,524173271,1920,1080,1.778,CFR,29.970,657776539,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,05_ItsGood_Glitchy,051_ItsGoodGlitchy_AUD_F_v01.mov,1,,1,130,051,001,AUD_F,2.03s,,-,,,,,130_OKC_PCC,05_ItsGood_Glitchy,\130_OKC_PCC\05_ItsGood_Glitchy\051_ItsGoodGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1851194428,10160,1600,6.350,CFR,29.970,471522034,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,054_ItsGoodGlitchy_RIB_F_v02.mov,1,,1,130,054,010,RIB_F,2.03s,,-,,,,,130_OKC_PCC,05_ItsGood_Glitchy,\130_OKC_PCC\05_ItsGood_Glitchy\054_ItsGoodGlitchy_RIB_F_v02.mov,-,nclc,nclc,2036,190839987,9504,144,66.000,CFR,29.970,49276113,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,058_ItsGoodGlitchy_SCB_v01.mov,1,,1,130,058,017,SCB,2.03s,,-,,,,,130_OKC_PCC,05_ItsGood_Glitchy,\130_OKC_PCC\05_ItsGood_Glitchy\058_ItsGoodGlitchy_SCB_v01.mov,-,nclc,nclc,2036,332759925,1920,1080,1.778,CFR,29.970,85145178,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,06_JumpBall_Clean,061_JumpBallClean_AUD_F_v01.mov,1,,1,130,061,001,AUD_F,10s,,-,21,,Only for In-Game jump ball. NOT for tip ,,130_OKC_PCC,06_JumpBall_Clean,\130_OKC_PCC\06_JumpBall_Clean\061_JumpBallClean_AUD_F_v01.mov,-,nclc,nclc,10010,2915864141,10160,1600,6.350,CFR,29.970,3650502885,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,064_JumpBallClean_RIB_F_v02.mov,1,,1,130,064,010,RIB_F,10s,,-,21,,,,130_OKC_PCC,06_JumpBall_Clean,\130_OKC_PCC\06_JumpBall_Clean\064_JumpBallClean_RIB_F_v02.mov,-,nclc,nclc,10010,334944056,9504,144,66.000,CFR,29.970,421188295,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,068_JumpBallClean_SCB_v01.mov,1,,1,130,068,017,SCB,10s,,-,21,,,,130_OKC_PCC,06_JumpBall_Clean,\130_OKC_PCC\06_JumpBall_Clean\068_JumpBallClean_SCB_v01.mov,-,nclc,nclc,10010,520960134,1920,1080,1.778,CFR,29.970,653756093,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,07_JumpBall_Glitchy,071_JumpBallGlitchy_AUD_F_v01.mov,1,,1,130,071,001,AUD_F,2.03s,,-,,,,,130_OKC_PCC,07_JumpBall_Glitchy,\130_OKC_PCC\07_JumpBall_Glitchy\071_JumpBallGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1834895221,10160,1600,6.350,CFR,29.970,467375168,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,074_JumpBallGlitchy_RIB_F_v02.mov,1,,1,130,074,010,RIB_F,2.03s,,-,,,,,130_OKC_PCC,07_JumpBall_Glitchy,\130_OKC_PCC\07_JumpBall_Glitchy\074_JumpBallGlitchy_RIB_F_v02.mov,-,nclc,nclc,2036,191288444,9504,144,66.000,CFR,29.970,49390206,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,078_JumpBallGlitchy_SCB_v01.mov,1,,1,130,078,017,SCB,2.03s,,-,,,,,130_OKC_PCC,07_JumpBall_Glitchy,\130_OKC_PCC\07_JumpBall_Glitchy\078_JumpBallGlitchy_SCB_v01.mov,-,nclc,nclc,2036,331530117,1920,1080,1.778,CFR,29.970,84832285,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,08_MoneyBall_Clean,081_MoneyBallClean_AUD_F_v01.mov,1,,1,130,081,001,AUD_F,10s,,-,42,,For 3's. Rotate between this and 3 pointer ,,130_OKC_PCC,08_MoneyBall_Clean,\130_OKC_PCC\08_MoneyBall_Clean\081_MoneyBallClean_AUD_F_v01.mov,-,nclc,nclc,10010,2902072133,10160,1600,6.350,CFR,29.970,3633245620,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,084_MoneyBallClean_RIB_F_v02.mov,1,,1,130,084,010,RIB_F,10s,,-,42,,,,130_OKC_PCC,08_MoneyBall_Clean,\130_OKC_PCC\08_MoneyBall_Clean\084_MoneyBallClean_RIB_F_v02.mov,-,nclc,nclc,10010,333217235,9504,144,66.000,CFR,29.970,419027610,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,088_MoneyBallClean_SCB_v01.mov,1,,1,130,088,017,SCB,10s,,-,42,,,,130_OKC_PCC,08_MoneyBall_Clean,\130_OKC_PCC\08_MoneyBall_Clean\088_MoneyBallClean_SCB_v01.mov,-,nclc,nclc,10010,520338441,1920,1080,1.778,CFR,29.970,652978202,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,09_MoneyBall_Glitchy,091_MoneyBallGlitchy_AUD_F_v01.mov,1,,1,130,091,001,AUD_F,2.03s,,-,,,,,130_OKC_PCC,09_MoneyBall_Glitchy,\130_OKC_PCC\09_MoneyBall_Glitchy\091_MoneyBallGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1848251606,10160,1600,6.350,CFR,29.970,470773316,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,094_MoneyBallGlitchy_RIB_F_v02.mov,1,,1,130,094,010,RIB_F,2.03s,,-,,,,,130_OKC_PCC,09_MoneyBall_Glitchy,\130_OKC_PCC\09_MoneyBall_Glitchy\094_MoneyBallGlitchy_RIB_F_v02.mov,-,nclc,nclc,2036,196661198,9504,144,66.000,CFR,29.970,50757114,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,098_MoneyBallGlitchy_SCB_v01.mov,1,,1,130,098,017,SCB,2.03s,,-,,,,,130_OKC_PCC,09_MoneyBall_Glitchy,\130_OKC_PCC\09_MoneyBall_Glitchy\098_MoneyBallGlitchy_SCB_v01.mov,-,nclc,nclc,2036,332319957,1920,1080,1.778,CFR,29.970,85033239,PCM,Little / Signed,sowt,2036,2,L R,44100,16
130_OKC_PCC,10_NiceHustle_Clean,101_NiceHustleClean_AUD_F_v01.mov,1,,1,130,101,001,AUD_F,10s,,-,22,,,,130_OKC_PCC,10_NiceHustle_Clean,\130_OKC_PCC\10_NiceHustle_Clean\101_NiceHustleClean_AUD_F_v01.mov,-,nclc,nclc,10010,2891163020,10160,1600,6.350,CFR,29.970,3619595580,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,104_NiceHustleClean_RIB_F_v02.mov,1,,1,130,104,010,RIB_F,10s,,-,22,,,,130_OKC_PCC,10_NiceHustle_Clean,\130_OKC_PCC\10_NiceHustle_Clean\104_NiceHustleClean_RIB_F_v02.mov,-,nclc,nclc,10010,332765251,9504,144,66.000,CFR,29.970,418462067,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,108_NiceHustleClean_SCB_v01.mov,1,,1,130,108,017,SCB,10s,,-,22,,,,130_OKC_PCC,10_NiceHustle_Clean,\130_OKC_PCC\10_NiceHustle_Clean\108_NiceHustleClean_SCB_v01.mov,-,nclc,nclc,10010,519455619,1920,1080,1.778,CFR,29.970,651873571,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,11_NiceHustle_Glitchy,111_NiceHustleGlitchy_AUD_F_v01.mov,1,,1,130,111,001,AUD_F,2.03s,,-,,,,,130_OKC_PCC,11_NiceHustle_Glitchy,\130_OKC_PCC\11_NiceHustle_Glitchy\111_NiceHustleGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1865975600,10160,1600,6.350,CFR,29.970,475282676,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,114_NiceHustleGlitchy_RIB_F_v02.mov,1,,1,130,114,010,RIB_F,2.03s,,-,,,,,130_OKC_PCC,11_NiceHustle_Glitchy,\130_OKC_PCC\11_NiceHustle_Glitchy\114_NiceHustleGlitchy_RIB_F_v02.mov,-,nclc,nclc,2036,197475392,9504,144,66.000,CFR,29.970,50964300,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,118_NiceHustleGlitchy_SCB_v01.mov,1,,1,130,118,017,SCB,2.03s,,-,,,,,130_OKC_PCC,11_NiceHustle_Glitchy,\130_OKC_PCC\11_NiceHustle_Glitchy\118_NiceHustleGlitchy_SCB_v01.mov,-,nclc,nclc,2036,332874420,1920,1080,1.778,CFR,29.970,85174308,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,12_NicePass_Clean,121_NicePassClean_AUD_F_v01.mov,1,,1,130,121,001,AUD_F,10s,,-,23,,,,130_OKC_PCC,12_NicePass_Clean,\130_OKC_PCC\12_NicePass_Clean\121_NicePassClean_AUD_F_v01.mov,-,nclc,nclc,10010,2927475063,10160,1600,6.350,CFR,29.970,3665031065,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,124_NicePassClean_RIB_F_v02.mov,1,,1,130,124,010,RIB_F,10s,,-,23,,,,130_OKC_PCC,12_NicePass_Clean,\130_OKC_PCC\12_NicePass_Clean\124_NicePassClean_RIB_F_v02.mov,-,nclc,nclc,10010,334630444,9504,144,66.000,CFR,29.970,420795888,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,,128_NicePassClean_SCB_v01.mov,1,,1,130,128,017,SCB,10s,,-,23,,,,130_OKC_PCC,12_NicePass_Clean,\130_OKC_PCC\12_NicePass_Clean\128_NicePassClean_SCB_v01.mov,-,nclc,nclc,10010,522092457,1920,1080,1.778,CFR,29.970,655172914,PCM,Little / Signed,sowt,10010,2,L R,44100,16
,13_NicePass_Glitchy,131_NicePassGlitchy_AUD_F_v01.mov,1,,1,130,131,001,AUD_F,2.03s,,-,,,,,130_OKC_PCC,13_NicePass_Glitchy,\130_OKC_PCC\13_NicePass_Glitchy\131_NicePassGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1832811632,10160,1600,6.350,CFR,29.970,466845059,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,134_NicePassGlitchy_RIB_F_v02.mov,1,,1,130,134,010,RIB_F,2.03s,,-,,,,,130_OKC_PCC,13_NicePass_Glitchy,\130_OKC_PCC\13_NicePass_Glitchy\134_NicePassGlitchy_RIB_F_v02.mov,-,nclc,nclc,2036,190478020,9504,144,66.000,CFR,29.970,49184017,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,138_NicePassGlitchy_SCB_v01.mov,1,,1,130,138,017,SCB,2.03s,,-,,,,,130_OKC_PCC,13_NicePass_Glitchy,\130_OKC_PCC\13_NicePass_Glitchy\138_NicePassGlitchy_SCB_v01.mov,-,nclc,nclc,2036,331490081,1920,1080,1.778,CFR,29.970,84822099,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,15_Swish_Glitchy,151_SwishGlitchy_AUD_F_v01.mov,1,,1,130,151,001,AUD_F,2.03s,,-,24,,Only have glitchy ,,130_OKC_PCC,15_Swish_Glitchy,\130_OKC_PCC\15_Swish_Glitchy\151_SwishGlitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1771275990,10160,1600,6.350,CFR,29.970,451189086,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,154_SwishGlitchy_RIB_F_v01.mov,1,,1,130,154,010,RIB_F,2.03s,,-,24,,,,130_OKC_PCC,15_Swish_Glitchy,\130_OKC_PCC\15_Swish_Glitchy\154_SwishGlitchy_RIB_F_v01.mov,-,nclc,nclc,2036,197582592,9504,144,66.000,CFR,29.970,50990028,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,158_SwishGlitchy_SCB_v01.mov,1,,1,130,158,017,SCB,2.03s,,-,24,,,,130_OKC_PCC,15_Swish_Glitchy,\130_OKC_PCC\15_Swish_Glitchy\158_SwishGlitchy_SCB_v01.mov,-,nclc,nclc,2036,330160435,1920,1080,1.778,CFR,29.970,84483801,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,17_WhatAPlay_Glitchy,171_WhatAPlay_Glitchy_AUD_F_v01.mov,1,,1,130,171,001,AUD_F,2.03s,,-,25,,,,130_OKC_PCC,17_WhatAPlay_Glitchy,\130_OKC_PCC\17_WhatAPlay_Glitchy\171_WhatAPlay_Glitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1846001549,10160,1600,6.350,CFR,29.970,470200856,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,174_WhatAPlay_Glitchy_RIB_F_v02.mov,1,,1,130,174,010,RIB_F,2.03s,,-,25,,,,130_OKC_PCC,17_WhatAPlay_Glitchy,\130_OKC_PCC\17_WhatAPlay_Glitchy\174_WhatAPlay_Glitchy_RIB_F_v02.mov,-,nclc,nclc,2036,197751874,9504,144,66.000,CFR,29.970,51034643,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,178_WhatAPlay_Glitchy_SCB_v01.mov,1,,1,130,178,017,SCB,2.03s,,-,25,,,,130_OKC_PCC,17_WhatAPlay_Glitchy,\130_OKC_PCC\17_WhatAPlay_Glitchy\178_WhatAPlay_Glitchy_SCB_v01.mov,-,nclc,nclc,2036,333099476,1920,1080,1.778,CFR,29.970,85231567,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,19_WhatASlam_Glitchy,191_WhatASlam_Glitchy_AUD_F_v01.mov,1,,1,130,191,001,AUD_F,2.03s,,-,41,,,,130_OKC_PCC,19_WhatASlam_Glitchy,\130_OKC_PCC\19_WhatASlam_Glitchy\191_WhatASlam_Glitchy_AUD_F_v01.mov,-,nclc,nclc,2036,1850540099,10160,1600,6.350,CFR,29.970,471355559,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,194_WhatASlam_Glitchy_RIB_F_v02.mov,1,,1,130,194,010,RIB_F,2.03s,,-,41,,,,130_OKC_PCC,19_WhatASlam_Glitchy,\130_OKC_PCC\19_WhatASlam_Glitchy\194_WhatASlam_Glitchy_RIB_F_v02.mov,-,nclc,nclc,2036,199079115,9504,144,66.000,CFR,29.970,51372321,PCM,Little / Signed,sowt,2036,2,L R,44100,16
,,198_WhatASlam_Glitchy_SCB_v01.mov,1,,1,130,198,017,SCB,2.03s,,-,41,,,,130_OKC_PCC,19_WhatASlam_Glitchy,\130_OKC_PCC\19_WhatASlam_Glitchy\198_WhatASlam_Glitchy_SCB_v01.mov,-,nclc,nclc,2036,333109530,1920,1080,1.778,CFR,29.970,85234125,PCM,Little / Signed,sowt,2036,2,L R,44100,16
